date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:56:44	78748/78748	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/bootstrap/js/bootstrap.bundle.min.js	(from https://theconception2021.web.app/)
19:56:44	14690/14690	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/aos/aos.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/aos/aos.js	(from https://theconception2021.web.app/)
19:56:45	35445/35445	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/isotope-layout/isotope.pkgd.min.js	(from https://theconception2021.web.app/)
19:56:45	55976/55976	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/glightbox/js/glightbox.min.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/glightbox/js/glightbox.min.js	(from https://theconception2021.web.app/)
19:56:46	11792/11792	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/typed.js/typed.min.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/typed.js/typed.min.js	(from https://theconception2021.web.app/)
19:56:47	21112/21112	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/waypoints/noframework.waypoints.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/waypoints/noframework.waypoints.js	(from https://theconception2021.web.app/)
19:56:48	9572/9572	---MCZ	200	added ('OK')	application/javascript	etag:W/%222564-177eddb2ec1%22	https://apply.devfolio.co/v2/sdk.js	C:/My%20Web%20Sites/demo/apply.devfolio.co/v2/sdk.js	(from https://theconception2021.web.app/)
19:56:49	9763/9763	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/js/main.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/js/main.js	(from https://theconception2021.web.app/)
19:56:49	2773/2773	---M-Z	200	added ('OK')	audio/mpeg	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/sounds/beep2.mp3	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/sounds/beep2.mp3	(from https://theconception2021.web.app/)
19:56:52	145446/145446	---M-Z	200	added ('OK')	text/javascript	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/swiper/swiper-bundle.min.js	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/swiper/swiper-bundle.min.js	(from https://theconception2021.web.app/)
19:56:56	120468/120468	---M-Z	200	added ('OK')	font/woff	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff?856008caa5eb66df68595e734e59580d	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff	(from https://theconception2021.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
19:56:57	90528/90528	---M-Z	200	added ('OK')	font/woff2	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?856008caa5eb66df68595e734e59580d	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons63f3.woff2	(from https://theconception2021.web.app/assets/vendor/bootstrap-icons/bootstrap-icons.css)
19:56:58	273536/273536	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.eot	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.eot	(from https://theconception2021.web.app/assets/vendor/boxicons/css/boxicons.min.css)
19:57:05	93260/93260	---M--	200	added ('OK')	font/woff2	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.woff2	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.woff2	(from https://theconception2021.web.app/assets/vendor/boxicons/css/boxicons.min.css)
19:57:07	273444/273444	---M-Z	200	added ('OK')	font/woff	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.woff	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.woff	(from https://theconception2021.web.app/assets/vendor/boxicons/css/boxicons.min.css)
19:57:08	273368/273368	---M-Z	200	added ('OK')	font/ttf	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.ttf	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.ttf	(from https://theconception2021.web.app/assets/vendor/boxicons/css/boxicons.min.css)
19:57:10	10722/10722	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jul%202021%2014:27:09%20GMT	https://theconception2021.web.app/assets/vendor/icofont/fonts/icofont.woff	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/icofont/fonts/icofont.woff	(from https://theconception2021.web.app/assets/vendor/icofont/icofont.min.css)
19:57:11	151237/151237	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/img/testimonials/02.jpg	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/img/testimonials/02.jpg	(from https://theconception2021.web.app/)
19:57:12	10722/10722	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Jul%202021%2014:27:11%20GMT	https://theconception2021.web.app/assets/img/venue-info-bg.jpg	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/img/venue-info-bg.4e.delayed	(from https://theconception2021.web.app/assets/css/style.css)
19:57:14	45574/45574	---M-Z	200	added ('OK')	image/jpeg	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/img/hero-bg.jpg	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/img/hero-bg.jpg	(from https://theconception2021.web.app/assets/css/style.css)
19:57:19	975365/975365	---M-Z	200	added ('OK')	image/svg+xml	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/boxicons/fonts/boxicons.svg?	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/boxicons/fonts/boxiconsd41d.svg	(from https://theconception2021.web.app/assets/vendor/boxicons/css/boxicons.min.css)
19:57:57	537868/537868	---M-Z	200	added ('OK')	font/woff2	date:Fri,%2023%20Jul%202021%2007:03:31%20GMT	https://theconception2021.web.app/assets/vendor/icofont/fonts/icofont.woff2	C:/My%20Web%20Sites/demo/theconception2021.web.app/assets/vendor/icofont/fonts/icofont.woff2	(from https://theconception2021.web.app/assets/vendor/icofont/icofont.min.css)
